acude_Banabuiú,acude_Castanhão,acude_Orós,water_level,precipitation,temperature_mean,volume,radiation,winv,depth,runoff,temperature_bottom,temperature_2m,month,year,chla
0,1,0,100.91,225.835514173274,26.8999996185303,4755148288,14860759.2222222,-1.32044858402676,4.98680051167806,0.00151669169591817,299.946282280816,298.819017198351,4,2008,35.885
0,1,0,103.21,92.4926954135421,26.3999996185303,5588860928,14686027.2222222,-1.37188703484005,5.32089850637648,0.000405461036636249,299.621734619141,298.993320041233,5,2008,19.32
0,1,0,104.15,10.3139362922916,25.7000007629395,5952707584,14812414.8888889,-1.62310071786245,6.31734312905206,0.000149871100171595,298.399949815538,299.14709133572,6,2008,13.04
0,1,0,104.27,11.7899768368006,26.2000007629395,6000175104,14351859.3333333,-2.286780834198,7.00978477795919,0.000104638338347816,297.012959798177,299.210578070747,7,2008,12.245
0,1,0,104.1,7.31152333956279,27.5,5932927488,17785258.8888889,-2.82694106631809,6.98079170121087,6.50215498308171e-05,297.506059434679,300.905331081814,8,2008,18.04
0,1,0,103.87,0.685179152001015,29,5842905088,20881085.3333333,-3.59383649296231,7.02809596061707,4.25968702870705e-05,298.112687852648,302.123175726997,9,2008,18.82
0,1,0,103.56,0.96862010410651,29.5,5722561024,21621658.4444444,-3.85492046674093,6.92611191007826,2.81539303909994e-05,298.495802137587,302.805558946398,10,2008,16.09
0,1,0,103.21,0.150477473839118,29.6000003814697,5588860928,21126045.1111111,-3.6724042362637,6.98808232943217,1.89827720854889e-05,298.963321261936,302.472357855903,11,2008,17.99
0,1,0,102.88,30.290046282431,29.6000003814697,5464137216,20569024,-3.31103777885437,6.91314130359226,1.60419020517111e-05,299.517489963108,302.622328016493,12,2008,26.715
0,1,0,102.53,101.008164270915,29.1000003814697,5333552640,18397546.6666667,-2.7400258647071,6.71298760837979,0.000214291405019746,299.872100830078,301.611863878038,1,2009,33.3
0,1,0,102.33,120.737391854417,27.8999996185303,5260239360,16997569.3333333,-1.834551109208,6.39965947469075,0.000437719113830705,300.36277601454,299.934400770399,2,2009,31.49
0,1,0,102.34,150.149267955537,27.6000003814697,5263891456,16739379.3333333,-1.63426825735304,5.86040613386366,0.000610346013121064,300.561370849609,299.374996609158,3,2009,31.2
0,1,0,102.38,352.479733759889,27,5278508544,13043881.5555556,-0.951749900976817,5.81369524531894,0.0026571829191865,300.380645751953,298.68558078342,4,2009,29.08
0,1,0,104.08,188.452210230341,26.3000011444092,5925017088,11593382.8888889,-0.75789686706331,6.08522947629293,0.00200970788432945,299.515252007378,298.376888699002,5,2009,22.61
0,1,0,105.14,25.0507569972731,26.3999996185303,6349961216,14075135.2222222,-1.77408835622999,6.75842703713311,0.000573700592619086,299.09972805447,298.871476915148,6,2009,16.425
0,1,0,104.03,36.714047549223,26.3999996185303,5905236992,15612720.6666667,-2.45457622740004,6.92645099427965,0.000323229950845416,298.464369032118,299.86464436849,7,2009,18.635
0,1,0,103.98,20.0663478300577,27.8999996185303,5885607424,17249172,-2.66467303699917,6.78920049137539,0.000290915233064576,298.147976345486,300.395731608073,8,2009,22.33
0,1,0,103.81,1.25231402075463,28.8000011444092,5819611136,20737838.8888889,-3.24905220667521,6.31208703253004,0.000121481899546628,298.682037353516,301.569471571181,9,2009,25.93
0,1,0,103.49,4.72375297439582,29.3000011444092,5695461888,20827437.5555556,-3.41712962256538,6.40618724293179,7.77391794050194e-05,298.818854437934,301.504465738932,10,2009,24.27
0,1,0,103.06,4.25234604778699,29.3999996185303,5531752448,20342988.6666667,-3.7567249668969,6.67322823736403,5.08400205080761e-05,298.740936279297,301.984225802951,11,2009,25.38
0,1,0,102.72,25.1321011925487,29.7000007629395,5404442624,18639938.6666667,-3.28469819492764,6.89745791753133,4.06798584439609e-05,299.587249755859,302.088005913628,12,2009,31.995
0,1,0,102.41,124.967826176757,29,5289473536,18067398.2222222,-2.44825924767388,5.81004990471734,0.0001755459856516,300.342434353299,301.207756890191,1,2010,28.58
0,1,0,102.15,45.7338627824247,29.5,5194463744,18691074.2222222,-2.87905632125007,5.13558056619432,3.30030982718199e-05,300.603030734592,302.527482774523,2,2010,29.475
0,1,0,101.45,97.084662039463,29.1000003814697,4943337984,18942453.7777778,-2.52158159679837,4.68695158428616,6.83371086567301e-05,300.811513264974,302.505048963759,3,2010,25.8
0,1,0,101.18,176.99417675445,28,4848887808,16497992,-1.57324151198069,4.44797110557556,0.000343436994335207,301.118126763238,300.893927680122,4,2010,22.72
